raceId,driverId,constructorId,grid,positionOrder,top3,year,round,circuitId,driver_nationality,driver_age,constructor_nationality,quali_position
27,5,1,3,5,0,2008,10,10,Finnish,26.751540041067763,British,3.0
27,8,6,6,6,0,2008,10,10,Finnish,28.758384668035593,Italian,6.0
27,9,2,7,7,0,2008,10,10,Polish,23.616700889801507,German,7.0
27,20,5,9,8,0,2008,10,10,German,21.048596851471594,Italian,9.0
27,15,7,4,9,0,2008,10,10,Italian,34.02053388090349,Japanese,4.0
27,3,3,13,10,0,2008,10,10,German,23.06365503080082,British,13.0
27,4,4,5,11,0,2008,10,10,Spanish,26.976043805612594,French,5.0
27,7,5,15,12,0,2008,10,10,French,29.39082819986311,Italian,15.0
27,14,9,10,13,0,2008,10,10,British,37.31690622861054,Austrian,10.0
27,6,3,16,14,0,2008,10,10,Japanese,23.520876112251884,British,16.0
27,16,10,19,15,0,2008,10,10,German,25.522245037645447,Indian,19.0
27,21,10,20,16,0,2008,10,10,Italian,35.51266255989049,Indian,20.0
27,18,11,14,17,0,2008,10,10,British,28.501026694045173,Japanese,14.0
27,22,11,18,18,0,2008,10,10,Brazilian,36.158795345653665,Japanese,18.0
27,17,9,8,19,0,2008,10,10,Australian,31.89596167008898,Austrian,8.0
27,10,7,11,20,0,2008,10,10,German,26.340862422997947,Japanese,11.0
28,5,1,2,1,1,2008,11,11,Finnish,26.78986995208761,British,2.0
28,10,7,5,2,1,2008,11,11,German,26.379192334017795,Japanese,5.0
28,8,6,6,3,1,2008,11,11,Finnish,28.79671457905544,Italian,6.0
28,4,4,7,4,0,2008,11,11,Spanish,27.014373716632445,French,7.0
28,1,1,1,5,0,2008,11,11,British,23.57015742642026,British,1.0
28,12,4,10,6,0,2008,11,11,Brazilian,23.025325119780973,French,10.0
28,15,7,9,7,0,2008,11,11,Italian,34.05886379192334,Japanese,9.0
28,9,2,4,8,0,2008,11,11,Polish,23.655030800821354,German,4.0
28,17,9,8,9,0,2008,11,11,Australian,31.93429158110883,Austrian,8.0
28,2,2,15,10,0,2008,11,11,German,31.23340177960301,German,16.0
28,14,9,13,11,0,2008,11,11,British,37.35523613963039,Austrian,13.0
28,18,11,12,12,0,2008,11,11,British,28.539356605065024,Japanese,12.0
28,6,3,16,13,0,2008,11,11,Japanese,23.55920602327173,British,17.0
28,3,3,14,14,0,2008,11,11,German,23.10198494182067,British,15.0
28,21,10,18,15,0,2008,11,11,Italian,35.55099247091034,Indian,19.0
28,22,11,17,16,0,2008,11,11,Brazilian,36.19712525667351,Japanese,18.0
28,13,6,3,17,0,2008,11,11,Brazilian,27.274469541409992,Italian,3.0
28,7,5,19,18,0,2008,11,11,French,29.429158110882955,Italian,14.0
28,16,10,20,19,0,2008,11,11,German,25.560574948665298,Indian,20.0
28,20,5,11,20,0,2008,11,11,German,21.086926762491444,Italian,11.0
29,13,6,1,1,1,2008,12,12,Brazilian,27.33196440793977,Italian,1.0
29,1,1,2,2,1,2008,12,12,British,23.627652292950035,British,2.0
29,9,2,3,3,1,2008,12,12,Polish,23.71252566735113,German,3.0
29,5,1,5,4,0,2008,12,12,Finnish,26.847364818617386,British,5.0
29,15,7,7,5,0,2008,12,12,Italian,34.116358658453116,Japanese,7.0
29,20,5,6,6,0,2008,12,12,German,21.144421629021217,Italian,6.0
29,10,7,13,7,0,2008,12,12,German,26.43668720054757,Japanese,13.0
29,3,3,9,8,0,2008,12,12,German,23.159479808350444,British,9.0
29,2,2,8,9,0,2008,12,12,German,31.290896646132786,German,8.0
29,7,5,10,10,0,2008,12,12,French,29.48665297741273,Italian,10.0
29,12,4,15,11,0,2008,12,12,Brazilian,23.082819986310746,French,15.0
29,17,9,14,12,0,2008,12,12,Australian,31.991786447638603,Austrian,14.0
29,18,11,16,13,0,2008,12,12,British,28.5968514715948,Japanese,16.0
29,21,10,18,14,0,2008,12,12,Italian,35.60848733744011,Indian,18.0
29,6,3,11,15,0,2008,12,12,Japanese,23.616700889801507,British,11.0
29,22,11,19,16,0,2008,12,12,Brazilian,36.25462012320329,Japanese,19.0
29,14,9,17,17,0,2008,12,12,British,37.412731006160165,Austrian,17.0
29,8,6,4,18,0,2008,12,12,Finnish,28.854209445585216,Italian,4.0
29,16,10,20,19,0,2008,12,12,German,25.61806981519507,Indian,20.0
29,4,4,12,20,0,2008,12,12,Spanish,27.071868583162217,French,12.0
30,13,6,2,1,1,2008,13,13,Brazilian,27.370294318959616,Italian,2.0
30,2,2,5,2,1,2008,13,13,German,31.329226557152634,German,5.0
30,1,1,1,3,1,2008,13,13,British,23.665982203969882,British,1.0
30,4,4,6,4,0,2008,13,13,Spanish,27.110198494182068,French,6.0
30,20,5,10,5,0,2008,13,13,German,21.182751540041068,Italian,10.0
30,9,2,8,6,0,2008,13,13,Polish,23.750855578370977,German,8.0
30,7,5,9,7,0,2008,13,13,French,29.52498288843258,Italian,9.0
30,17,9,7,8,0,2008,13,13,Australian,32.030116358658454,Austrian,7.0
30,10,7,13,9,0,2008,13,13,German,26.47501711156742,Japanese,13.0
30,5,1,3,10,0,2008,13,13,Finnish,26.885694729637233,British,3.0
30,14,9,14,11,0,2008,13,13,British,37.451060917180016,Austrian,14.0
30,3,3,15,12,0,2008,13,13,German,23.197809719370294,British,15.0
30,16,10,18,13,0,2008,13,13,German,25.65639972621492,Indian,18.0
30,6,3,19,14,0,2008,13,13,Japanese,23.655030800821354,British,19.0
30,18,11,17,15,0,2008,13,13,British,28.635181382614647,Japanese,17.0
30,15,7,11,16,0,2008,13,13,Italian,34.15468856947297,Japanese,11.0
30,21,10,20,17,0,2008,13,13,Italian,35.64681724845996,Indian,20.0
30,8,6,4,18,0,2008,13,13,Finnish,28.892539356605067,Italian,4.0
30,22,11,16,19,0,2008,13,13,Brazilian,36.29295003422313,Japanese,16.0
30,12,4,12,20,0,2008,13,13,Brazilian,23.121149897330596,French,12.0
31,20,5,1,1,1,2008,14,14,German,21.201916495550993,Italian,1.0
31,5,1,2,2,1,2008,14,14,Finnish,26.90485968514716,British,2.0
31,9,2,11,3,1,2008,14,14,Polish,23.770020533880903,German,11.0
31,4,4,8,4,0,2008,14,14,Spanish,27.129363449691994,French,8.0
31,2,2,10,5,0,2008,14,14,German,31.34839151266256,German,10.0
31,13,6,6,6,0,2008,14,14,Brazilian,27.38945927446954,Italian,6.0
31,1,1,15,7,0,2008,14,14,British,23.685147159479808,British,15.0
31,17,9,3,8,0,2008,14,14,Australian,32.049281314168375,Austrian,3.0
31,8,6,14,9,0,2008,14,14,Finnish,28.91170431211499,Italian,14.0
31,12,4,17,10,0,2008,14,14,Brazilian,23.140314852840522,French,17.0
31,10,7,9,11,0,2008,14,14,German,26.494182067077343,Japanese,9.0
31,6,3,18,12,0,2008,14,14,Japanese,23.67419575633128,British,18.0
31,15,7,7,13,0,2008,14,14,Italian,34.17385352498289,Japanese,7.0
31,3,3,5,14,0,2008,14,14,German,23.21697467488022,British,5.0
31,18,11,19,15,0,2008,14,14,British,28.654346338124572,Japanese,19.0
31,14,9,13,16,0,2008,14,14,British,37.47022587268994,Austrian,13.0
31,22,11,16,17,0,2008,14,14,Brazilian,36.31211498973306,Japanese,16.0
31,7,5,4,18,0,2008,14,14,French,29.544147843942504,Italian,4.0
31,16,10,20,19,0,2008,14,14,German,25.675564681724847,Indian,20.0
31,21,10,12,20,0,2008,14,14,Italian,35.66598220396988,Indian,12.0
32,4,4,15,1,1,2008,15,15,Spanish,27.16769336071184,French,15.0
32,3,3,8,2,1,2008,15,15,German,23.255304585900067,British,9.0
32,1,1,2,3,1,2008,15,15,British,23.72347707049966,British,2.0
32,10,7,7,4,0,2008,15,15,German,26.532511978097194,Japanese,8.0
32,20,5,6,5,0,2008,15,15,German,21.240246406570844,Italian,7.0
32,2,2,9,6,0,2008,15,15,German,31.38672142368241,German,6.0
32,14,9,14,7,0,2008,15,15,British,37.50855578370979,Austrian,14.0
32,6,3,10,8,0,2008,15,15,Japanese,23.71252566735113,British,10.0
32,18,11,12,9,0,2008,15,15,British,28.692676249144423,Japanese,12.0
32,5,1,5,10,0,2008,15,15,Finnish,26.94318959616701,British,5.0
32,9,2,4,11,0,2008,15,15,Polish,23.808350444900753,German,4.0
32,7,5,17,12,0,2008,15,15,French,29.582477754962355,Italian,17.0
32,13,6,1,13,0,2008,15,15,Brazilian,27.42778918548939,Italian,1.0
32,21,10,20,14,0,2008,15,15,Italian,35.70431211498973,Indian,20.0
32,8,6,3,15,0,2008,15,15,Finnish,28.95003422313484,Italian,3.0
32,15,7,11,16,0,2008,15,15,Italian,34.21218343600274,Japanese,11.0
32,16,10,19,17,0,2008,15,15,German,25.713894592744694,Indian,19.0
32,17,9,13,18,0,2008,15,15,Australian,32.087611225188226,Austrian,13.0
32,22,11,18,19,0,2008,15,15,Brazilian,36.35044490075291,Japanese,18.0
32,12,4,16,20,0,2008,15,15,Brazilian,23.17864476386037,French,16.0
33,4,4,4,1,1,2008,16,16,Spanish,27.20602327173169,French,4.0
33,9,2,6,2,1,2008,16,16,Polish,23.8466803559206,German,6.0
33,8,6,2,3,1,2008,16,16,Finnish,28.98836413415469,Italian,2.0
